X,Y,Z,val,coord,feature_name,dip,strike,event
2698.0,4920.0,3968.0,0.0,0.0,fault,,,
1.0,2500.0,4000.0,0.0,1.0,fault,,,
7000.0,2500.0,4000.0,1.0,1.0,fault,,,
1.0,2500.0,1000.0,0.0,2.0,fault,,,
1.0,2500.0,4000.0,1.0,2.0,fault,,,
3059.276599,2442.671878,4000.0,,0.0,,0.0,90.0,0.0
3059.276599,2442.671878,4000.0,,0.0,,90.000346,359.999654,1.0
3059.276599,2442.671878,4000.0,,0.0,,90.000346,270.0,2.0
3059.276599,2442.671878,4000.0,,0.0,,89.998654,132.00016200000002,3.0
3059.276599,2442.671878,4000.0,,0.0,s0,-71.400513,184.391673,4.0
618.8952830000001,3122.09023,4000.0,,0.0,,71.400513,184.391673,0.0
618.8952830000001,3122.09023,4000.0,,0.0,,90.000346,359.999654,1.0
618.8952830000001,3122.09023,4000.0,,0.0,,90.000346,270.0,2.0
618.8952830000001,3122.09023,4000.0,,0.0,,89.998654,132.00016200000002,3.0
618.8952830000001,3122.09023,4000.0,,0.0,,71.975608,361.211921,4.0
8465.891840999999,2632.779654,4000.0,,0.0,,71.975608,361.211921,0.0
8465.891840999999,2632.779654,4000.0,,0.0,,89.999654,179.999654,1.0
8465.891840999999,2632.779654,4000.0,,0.0,,90.000346,270.0,2.0
8465.891840999999,2632.779654,4000.0,,0.0,fault,89.998654,132.00016200000002,3.0
8465.891840999999,2632.779654,4000.0,,0.0,,66.857031,361.592049,4.0
5205.287504,2206.529091,4000.0,,0.0,,66.857031,361.592049,0.0
5205.287504,2206.529091,4000.0,,0.0,,90.000346,359.999654,1.0
5205.287504,2206.529091,4000.0,,0.0,,90.000346,270.0,2.0
5205.287504,2206.529091,4000.0,,0.0,,89.998654,132.00016200000002,3.0
5205.287504,2206.529091,4000.0,,0.0,s0,-30.035877000000003,203.176875,4.0
5407.8840740000005,1575.153641,4000.0,,0.0,,30.035877000000003,203.176875,0.0
5407.8840740000005,1575.153641,4000.0,,0.0,,90.000346,359.999654,1.0
5407.8840740000005,1575.153641,4000.0,,0.0,,90.000346,270.0,2.0
5407.8840740000005,1575.153641,4000.0,,0.0,,89.998654,132.00016200000002,3.0
5407.8840740000005,1575.153641,4000.0,,0.0,,29.212019,321.717986,4.0
6534.725129,903.951383,4000.0,,0.0,,29.212019,321.717986,0.0
6534.725129,903.951383,4000.0,,0.0,,90.000346,359.999654,1.0
6534.725129,903.951383,4000.0,,0.0,,90.000346,270.0,2.0
6534.725129,903.951383,4000.0,,0.0,,89.998654,132.00016200000002,3.0
6534.725129,903.951383,4000.0,,0.0,,71.55102,351.267361,4.0
7710.023690000001,4227.863451,4000.0,,0.0,,71.55102,351.267361,0.0
7710.023690000001,4227.863451,4000.0,,0.0,,89.999654,179.999654,1.0
7710.023690000001,4227.863451,4000.0,,0.0,,89.999654,90.0,2.0
7710.023690000001,4227.863451,4000.0,,0.0,,89.998654,132.00016200000002,3.0
7710.023690000001,4227.863451,4000.0,,0.0,,73.198551,366.277718,4.0
1406.552301,6117.705018,4000.0,,0.0,,73.198551,366.277718,0.0
1406.552301,6117.705018,4000.0,,0.0,,89.999654,179.999654,1.0
1406.552301,6117.705018,4000.0,,0.0,,90.000346,270.0,2.0
1406.552301,6117.705018,4000.0,,0.0,fault,89.998654,132.00016200000002,3.0
1406.552301,6117.705018,4000.0,,0.0,,72.194375,369.312961,4.0
4143.160577000001,543.599393,4000.0,,0.0,,72.194375,369.312961,0.0
4143.160577000001,543.599393,4000.0,,0.0,,90.000346,359.999654,1.0
4143.160577000001,543.599393,4000.0,,0.0,,89.999654,90.0,2.0
4143.160577000001,543.599393,4000.0,,0.0,,89.998654,132.00016200000002,3.0
4143.160577000001,543.599393,4000.0,,0.0,s0,-72.18045500000001,189.01758,4.0
8179.477681,1103.270854,4000.0,,0.0,,72.18045500000001,189.01758,0.0
8179.477681,1103.270854,4000.0,,0.0,,90.000346,359.999654,1.0
8179.477681,1103.270854,4000.0,,0.0,,89.999654,90.0,2.0
8179.477681,1103.270854,4000.0,,0.0,,89.998654,132.00016200000002,3.0
8179.477681,1103.270854,4000.0,,0.0,s0,-72.077985,353.567591,4.0
7060.990033,2697.57553,4000.0,,0.0,,72.077985,353.567591,0.0
7060.990033,2697.57553,4000.0,,0.0,,89.999654,179.999654,1.0
7060.990033,2697.57553,4000.0,,0.0,,89.999654,90.0,2.0
7060.990033,2697.57553,4000.0,,0.0,,89.998654,132.00016200000002,3.0
7060.990033,2697.57553,4000.0,,0.0,s0,-71.353697,361.25681,4.0
1347.366565,2383.417887,4000.0,,0.0,,71.353697,361.25681,0.0
1347.366565,2383.417887,4000.0,,0.0,,89.999654,179.999654,1.0
1347.366565,2383.417887,4000.0,,0.0,,90.000346,270.0,2.0
1347.366565,2383.417887,4000.0,,0.0,,89.998654,132.00016200000002,3.0
1347.366565,2383.417887,4000.0,,0.0,s0,-57.222644,351.574686,4.0
2410.8852690000003,3076.122725,4000.0,,0.0,,57.222644,351.574686,0.0
2410.8852690000003,3076.122725,4000.0,,0.0,,89.999654,179.999654,1.0
2410.8852690000003,3076.122725,4000.0,,0.0,,90.000346,270.0,2.0
2410.8852690000003,3076.122725,4000.0,,0.0,,89.998654,132.00016200000002,3.0
2410.8852690000003,3076.122725,4000.0,,0.0,s0,-56.973347,182.933402,4.0
9535.239905,1751.991631,4000.0,,0.0,,56.973347,182.933402,0.0
9535.239905,1751.991631,4000.0,,0.0,,89.999654,179.999654,1.0
9535.239905,1751.991631,4000.0,,0.0,,90.000346,270.0,2.0
9535.239905,1751.991631,4000.0,,0.0,,89.998654,132.00016200000002,3.0
9535.239905,1751.991631,4000.0,,0.0,,26.308937,207.40296,4.0
6856.252011,2144.626385,4000.0,,0.0,,26.308937,207.40296,0.0
6856.252011,2144.626385,4000.0,,0.0,,89.999654,179.999654,1.0
6856.252011,2144.626385,4000.0,,0.0,,90.000346,270.0,2.0
6856.252011,2144.626385,4000.0,,0.0,,89.998654,132.00016200000002,3.0
6856.252011,2144.626385,4000.0,,0.0,s0,-67.765968,358.156,4.0
2682.397829,216.825276,4000.0,,0.0,,67.765968,358.156,0.0
2682.397829,216.825276,4000.0,,0.0,,89.999654,179.999654,1.0
2682.397829,216.825276,4000.0,,0.0,,89.999654,90.0,2.0
2682.397829,216.825276,4000.0,,0.0,,89.998654,132.00016200000002,3.0
2682.397829,216.825276,4000.0,,0.0,s0,-68.144362,191.278662,4.0
3487.416687,465.55149000000006,4000.0,,0.0,,68.144362,191.278662,0.0
3487.416687,465.55149000000006,4000.0,,0.0,s1,90.000346,-359.999654,1.0
3487.416687,465.55149000000006,4000.0,,0.0,,89.999654,90.0,2.0
3487.416687,465.55149000000006,4000.0,,0.0,,89.998654,132.00016200000002,3.0
3487.416687,465.55149000000006,4000.0,,0.0,,73.775328,188.157244,4.0
5545.773464,6000.019651,4000.0,,0.0,,73.775328,188.157244,0.0
5545.773464,6000.019651,4000.0,,0.0,,89.999654,179.999654,1.0
5545.773464,6000.019651,4000.0,,0.0,,90.000346,270.0,2.0
5545.773464,6000.019651,4000.0,,0.0,,89.998654,132.00016200000002,3.0
5545.773464,6000.019651,4000.0,,0.0,,58.263051,161.84139199999998,4.0
5461.866251,3150.878569,4000.0,,0.0,,58.263051,161.84139199999998,0.0
5461.866251,3150.878569,4000.0,,0.0,,90.000346,359.999654,1.0
5461.866251,3150.878569,4000.0,,0.0,,90.000346,270.0,2.0
5461.866251,3150.878569,4000.0,,0.0,fault,89.998654,132.00016200000002,3.0
5461.866251,3150.878569,4000.0,,0.0,,57.222575,171.57466399999998,4.0
437.104338,847.015279,4000.0,,0.0,,57.222575,171.57466399999998,0.0
